Obtaining average intraday spreads for all nodes: 
Sorting dictionary
Number of nodes:  2404
Top 5
('05ZZA-115', 1153.7461383537652) 1142
('05CVA-115', 1153.7429772329247) 1142
('03DLT-115', 1153.7059397417504) 697
('02TAE-115', 1153.5935639229424) 1142
('02TNP-115', 1153.5567600700526) 1142
('05CUE-115', 1153.5192469352014) 1142
('05GJO-115', 1153.4926182136603) 1142
('02CHG-115', 1153.3380910683013) 1142
('05PAT-115', 1153.3278721541158) 1142
('05LTD-115', 1153.2519001751314) 1142
('02AAA-115', 1153.2384063047286) 1142
('02LMX-115', 1153.2077933450087) 1142
('02ATC-115', 1153.0414098073556) 1142
('05SOM-115', 1152.8804028021016) 1142
('02ARU-115', 1152.8136453201969) 812
('04MRI-115', 1152.7612434325742) 1142
('05SID-115', 1152.6993957968475) 1142
('05DLP-115', 1152.6737390542905) 1142
('05ALI-115', 1152.525735551664) 1142
('02ISL-115', 1152.446646234676) 1142
('04FMA-115', 1152.423747810858) 1142
('02RDC-115', 1152.4045183887915) 1142
('02TML-115', 1152.358598949212) 1142
('05INO-115', 1152.3170928196148) 1142
('05MED-115', 1152.2772329246936) 1142
('05RVA-115', 1152.183371278459) 1142
('05LEX-115', 1152.1208844133098) 1142
('02PNS-115', 1151.976357267951) 1142
('02PLI-115', 1151.957206654991) 1142
('04PGD-115', 1151.9502189141856) 1142
('05CZL-115', 1151.9374168126094) 1142
('02PJJ-115', 1151.8909106830122) 1142
('02VAN-115', 1151.8171453590194) 1142
('05SVC-115', 1151.6427057793346) 1142
('05PQE-115', 1151.5329684763572) 1142
('05MEN-115', 1151.5003327495622) 1142
('05FXD-115', 1151.4522767075307) 1142
('05OTV-115', 1151.3802364273204) 1142
('05SJE-115', 1151.370989492119) 1142
('02FLM-115', 1151.2253765323992) 1142
('04PGD-230', 1151.203625218914) 1142
('05AZT-115', 1151.1375831873906) 1142
('01JCP-85', 1150.7327583187391) 1142
('05BJZ-115', 1150.6604553415061) 1142
('05CMF-115', 1150.5407968476356) 1142
('02MLU-115', 1150.532162872154) 1142
('02TRT-115', 1150.527101576182) 1142
('02EAS-115', 1150.492276707531) 1142
('02XCH-85', 1150.4906042031523) 1142
('01ZIC-85', 1150.4000963222418) 1142
('05IGS-115', 1150.3366462346762) 1142
('05AVO-115', 1150.2999124343257) 1142
('05TOR-115', 1150.2978546409806) 1142
('02PVC-115', 1150.2688178633975) 1142
('02BAA-115', 1150.1962609457091) 1142
('05AEP-115', 1150.1945621716286) 1142
('01TDV-85', 1150.1706042031524) 1142
('02AUN-115', 1150.1100525394047) 1142
('02BGS-115', 1150.061541155867) 1142
('02EXE-115', 1149.8890630472856) 1142
